Fold,Loss,Accuracy,MCC,Precision,Recall,F1,ROC_AUC,PR_AUC
1,0.6097478270530701,0.7102803738317757,0.4210919303046128,0.6507177033492823,0.7272727272727273,0.6868686868686867,0.7469767235449442,0.6644166933783133
2,0.6215001940727234,0.7120879120879121,0.39932943971338036,0.7103448275862069,0.5364583333333334,0.6112759643916914,0.7321867078580482,0.6490970529214152
3,0.6057074666023254,0.7080459770114943,0.40883060579565883,0.711764705882353,0.6080402010050251,0.6558265582655827,0.7581019504301167,0.7200392996370724
4,0.6120877861976624,0.6995614035087719,0.3945691646930697,0.6958762886597938,0.6338028169014085,0.6633906633906633,0.7515504549933345,0.7186890578252534
5,0.615096926689148,0.714622641509434,0.42678878125935304,0.7283236994219653,0.63,0.675603217158177,0.7443080357142857,0.7102854362352182
6,0.5917511582374573,0.7254901960784313,0.4593740059180324,0.7791411042944786,0.625615763546798,0.6939890710382515,0.7709960350835036,0.7804380832137687
7,0.5310178995132446,0.7644230769230769,0.5152007905996954,0.7682119205298014,0.6480446927374302,0.7030303030303031,0.8097258562572189,0.7466158059189272
8,0.5690332651138306,0.7146118721461188,0.43583232467651845,0.680161943319838,0.7850467289719626,0.7288503253796096,0.7756174899866488,0.7332656566567666
9,0.5801135301589966,0.7235576923076923,0.4237620969062379,0.7112676056338029,0.5771428571428572,0.6372239747634071,0.7558269116775341,0.6728833652929437
10,0.5452358722686768,0.7481481481481481,0.4959229514729825,0.7632850241545893,0.7488151658767772,0.7559808612440191,0.8016807543851077,0.7885577387093516
