Fold,Loss,Accuracy,MCC,Macro_Precision,Macro_Recall,Macro_F1,Macro_ROC_AUC
1,1.0030267238616943,0.5198358413132695,0.2763494208564777,0.5175991895561816,0.5137104229311719,0.5121446017620394,0.6886732555499601
2,1.0462325811386108,0.5107033639143731,0.26409299168200845,0.5105867988220929,0.5101361508396685,0.5103304235412985,0.6630648242010025
3,1.006314754486084,0.5242290748898678,0.2836957172829728,0.5116029539848788,0.5163141228185916,0.5066116524605385,0.6822717388491085
4,1.0190593004226685,0.504,0.2641477593390941,0.4910194169847541,0.5004214048803601,0.4751030322879992,0.6549108250175962
5,1.0244001150131226,0.49522292993630573,0.2416547846664941,0.49556814479101874,0.49449251768092345,0.49363942229149466,0.663290042306835
6,1.018515944480896,0.5189274447949527,0.27210476343642315,0.5154468527157579,0.5123102083996783,0.5131859049431514,0.6728077869541159
7,1.0476397275924683,0.5031545741324921,0.26143206816094644,0.4987516410352588,0.5051071591427269,0.49044892999095396,0.6540520372734392
8,1.0048151016235352,0.5174708818635607,0.28693154414682026,0.5120502174772638,0.5177635631366975,0.48603843023197685,0.6687768145279471
9,1.036588430404663,0.4950980392156863,0.24858346893395675,0.4750469741106446,0.48144881195214734,0.43818189950076336,0.6370213317023967
10,0.9873266220092773,0.5255474452554745,0.2894834901495296,0.5234265138620375,0.5270293295268649,0.5240408027075399,0.6900821051392473
