Sequence_ID,Sim_95,Sim_90,Sim_70,Sim_50,Sim_40,Sim_30
EColi1700_2,C95_EColi1700_2,C90_EColi1700_2,C70_EColi1700_2,C50_EColi1700_2,C40_EColi88_0,C30_EColi88_0
EColi1701_1,C95_EColi1701_1,C90_EColi1701_1,C70_EColi1701_1,C50_EColi1701_1,C40_EColi1701_1,C30_EColi1701_1
EColi1702_2,C95_EColi1702_2,C90_EColi1702_2,C70_EColi1702_2,C50_EColi1702_2,C40_EColi1702_2,C30_EColi1702_2
EColi1703_0,C95_EColi1703_0,C90_EColi1703_0,C70_EColi1703_0,C50_EColi1703_0,C40_EColi2202_2,C30_EColi2202_2
EColi1704_2,C95_EColi1704_2,C90_EColi1704_2,C70_EColi1704_2,C50_EColi1704_2,C40_EColi1704_2,C30_EColi5086_0
EColi1705_2,C95_EColi1705_2,C90_EColi1705_2,C70_EColi1705_2,C50_EColi1705_2,C40_EColi2413_2,C30_EColi3878_1
EColi1706_2,C95_EColi1706_2,C90_EColi1706_2,C70_EColi1706_2,C50_EColi1706_2,C40_EColi1706_2,C30_EColi1706_2
EColi1707_2,C95_EColi1707_2,C90_EColi1707_2,C70_EColi1707_2,C50_EColi1707_2,C40_EColi1707_2,C30_EColi5530_2
EColi1708_2,C95_EColi1708_2,C90_EColi1708_2,C70_EColi1708_2,C50_EColi1708_2,C40_EColi4529_2,C30_EColi48_0
EColi1709_2,C95_EColi1709_2,C90_EColi1709_2,C70_EColi1709_2,C50_EColi1709_2,C40_EColi1709_2,C30_EColi1709_2
EColi1710_1,C95_EColi1710_1,C90_EColi1710_1,C70_EColi1710_1,C50_EColi1710_1,C40_EColi1710_1,C30_EColi1710_1
EColi1711_1,C95_EColi1711_1,C90_EColi1711_1,C70_EColi1711_1,C50_EColi4874_2,C40_EColi4874_2,C30_EColi4874_2
EColi1712_2,C95_EColi1712_2,C90_EColi1712_2,C70_EColi1712_2,C50_EColi2218_1,C40_EColi2218_1,C30_EColi5650_2
EColi1713_1,C95_EColi1713_1,C90_EColi1713_1,C70_EColi1713_1,C50_EColi1713_1,C40_EColi1713_1,C30_EColi1713_1
EColi1714_0,C95_EColi1714_0,C90_EColi1714_0,C70_EColi1714_0,C50_EColi1714_0,C40_EColi1714_0,C30_EColi1714_0
EColi1715_2,C95_EColi1715_2,C90_EColi1715_2,C70_EColi1715_2,C50_EColi1715_2,C40_EColi1715_2,C30_EColi5721_1
EColi1716_1,C95_EColi1716_1,C90_EColi1716_1,C70_EColi1716_1,C50_EColi1716_1,C40_EColi5866_0,C30_EColi5866_0
EColi1717_1,C95_EColi1717_1,C90_EColi1717_1,C70_EColi1717_1,C50_EColi1717_1,C40_EColi2222_2,C30_EColi5866_0
EColi1718_2,C95_EColi1718_2,C90_EColi1718_2,C70_EColi1718_2,C50_EColi1718_2,C40_EColi1718_2,C30_EColi1718_2
EColi1719_0,C95_EColi1719_0,C90_EColi1719_0,C70_EColi1719_0,C50_EColi1719_0,C40_EColi1719_0,C30_EColi1830_2
EColi1720_2,C95_EColi1720_2,C90_EColi1720_2,C70_EColi1720_2,C50_EColi1720_2,C40_EColi1720_2,C30_EColi1720_2
EColi1721_1,C95_EColi1721_1,C90_EColi1721_1,C70_EColi1721_1,C50_EColi1721_1,C40_EColi1721_1,C30_EColi5838_2
EColi1722_2,C95_EColi1722_2,C90_EColi1722_2,C70_EColi1722_2,C50_EColi1722_2,C40_EColi1722_2,C30_EColi5618_1
EColi1723_0,C95_EColi1723_0,C90_EColi1723_0,C70_EColi1723_0,C50_EColi1723_0,C40_EColi1723_0,C30_EColi2235_1
EColi1724_2,C95_EColi1724_2,C90_EColi1724_2,C70_EColi1724_2,C50_EColi1724_2,C40_EColi1724_2,C30_EColi1724_2
EColi1725_1,C95_EColi1725_1,C90_EColi1725_1,C70_EColi1725_1,C50_EColi6304_1,C40_EColi5893_2,C30_EColi5893_2
EColi1726_0,C95_EColi1726_0,C90_EColi1726_0,C70_EColi1726_0,C50_EColi1726_0,C40_EColi1726_0,C30_EColi1726_0
EColi1727_1,C95_EColi1727_1,C90_EColi1727_1,C70_EColi1727_1,C50_EColi1727_1,C40_EColi1727_1,C30_EColi1727_1
EColi1728_1,C95_EColi1728_1,C90_EColi1728_1,C70_EColi1728_1,C50_EColi1728_1,C40_EColi1728_1,C30_EColi6108_2
EColi1729_0,C95_EColi1729_0,C90_EColi1729_0,C70_EColi1729_0,C50_EColi1729_0,C40_EColi1729_0,C30_EColi2253_1
EColi1730_0,C95_EColi1730_0,C90_EColi1730_0,C70_EColi1730_0,C50_EColi1730_0,C40_EColi359_2,C30_EColi231_2
EColi1731_0,C95_EColi1731_0,C90_EColi1731_0,C70_EColi1731_0,C50_EColi717_0,C40_EColi570_0,C30_EColi570_0
EColi1732_2,C95_EColi1732_2,C90_EColi1732_2,C70_EColi1732_2,C50_EColi1732_2,C40_EColi1732_2,C30_EColi1732_2
EColi1733_0,C95_EColi1733_0,C90_EColi1733_0,C70_EColi1733_0,C50_EColi1733_0,C40_EColi1733_0,C30_EColi2767_2
EColi1734_0,C95_EColi1734_0,C90_EColi1734_0,C70_EColi1734_0,C50_EColi1734_0,C40_EColi1734_0,C30_EColi1734_0
EColi1735_2,C95_EColi1735_2,C90_EColi1735_2,C70_EColi1735_2,C50_EColi1735_2,C40_EColi486_1,C30_EColi4546_0
